date,open,close,high,low,amount
2024-01-02,143.53,138.14,143.84,137.93,214033.0
2024-01-03,137.41,137.11,138.59,135.71,197576.0
2024-01-04,136.81,132.51,137.03,131.08,272418.0
2024-01-05,132.3,132.21,136.04,130.8,210353.0
2024-01-08,131.51,131.31,134.7,130.39,193854.0
2024-01-09,131.27,130.01,132.68,127.06,233916.0
2024-01-10,128.25,131.97,134.42,127.86,232120.0
2024-01-11,131.97,136.13,139.08,129.82,328018.0
2024-01-12,135.31,135.94,138.64,133.51,254622.0
2024-01-15,134.81,133.01,135.01,130.66,172722.0
2024-01-16,132.97,138.26,138.56,131.87,284693.0
2024-01-17,138.17,133.55,138.17,133.06,217615.0
2024-01-18,131.41,135.92,136.51,131.32,307788.0
2024-01-19,135.11,136.21,139.2,134.71,265949.0
2024-01-22,134.81,136.97,141.26,131.96,404888.0
2024-01-23,136.31,135.22,140.11,134.5,323059.0
2024-01-24,135.81,134.79,136.3,130.82,248710.0
2024-01-25,133.31,136.31,136.41,131.02,294796.0
2024-01-26,133.81,131.31,135.79,131.31,271813.0
2024-01-29,130.75,128.33,132.09,128.33,217675.0
2024-01-30,126.81,122.06,128.75,121.71,327274.0
2024-01-31,126.31,132.9,134.27,125.31,595221.0
2024-02-01,132.89,130.33,133.83,129.89,279688.0
2024-02-02,129.31,127.31,130.31,124.68,307060.0
2024-02-05,123.92,133.25,135.81,123.61,471326.0
2024-02-06,132.5,139.64,140.57,132.13,437459.0
2024-02-07,139.31,140.91,141.1,137.31,366070.0
2024-02-08,140.81,144.15,146.31,140.19,309012.0
2024-02-19,146.27,141.4,146.27,140.4,270925.0
2024-02-20,143.19,139.64,143.19,137.38,221948.0
2024-02-21,138.69,142.51,144.61,137.65,257827.0
2024-02-22,142.64,141.66,142.64,140.19,209559.0
2024-02-23,143.28,141.81,143.31,140.37,210176.0
2024-02-26,140.54,137.31,141.3,136.01,360664.0
2024-02-27,136.39,139.14,139.16,135.85,290401.0
2024-02-28,139.49,138.32,144.61,138.32,400917.0
2024-02-29,137.41,144.82,145.08,136.97,391675.0
2024-03-01,144.84,145.86,146.87,143.71,281013.0
2024-03-04,146.31,145.21,149.17,144.08,268086.0
2024-03-05,143.41,145.96,146.51,141.31,275496.0
2024-03-06,143.89,144.95,148.21,143.01,187180.0
2024-03-07,144.31,141.46,145.48,140.79,221450.0
2024-03-08,140.44,139.31,142.11,137.96,202170.0
2024-03-11,146.31,162.16,162.96,145.41,763350.0
2024-03-12,164.65,167.15,167.74,161.31,621649.0
2024-03-13,168.31,166.49,169.0,164.61,347958.0
2024-03-14,166.2,165.12,169.27,164.27,305356.0
2024-03-15,164.94,162.31,165.21,158.16,354836.0
2024-03-18,171.35,172.27,175.07,170.26,483052.0
2024-03-19,171.8,168.56,173.61,167.91,269576.0
2024-03-20,166.82,170.79,172.55,166.82,210316.0
2024-03-21,170.82,170.39,173.19,170.39,187567.0
2024-03-22,170.4,167.82,171.22,166.3,191034.0
2024-03-25,166.88,166.11,169.51,165.79,164134.0
2024-03-26,167.01,173.11,174.44,167.0,302473.0
2024-03-27,173.05,169.31,173.06,169.31,206457.0
2024-03-28,169.38,170.09,173.01,167.91,200367.0
2024-03-29,171.61,171.47,176.31,170.69,164648.0
2024-04-01,175.31,179.15,181.14,174.71,275132.0
2024-04-02,179.41,181.01,182.88,177.81,240381.0
2024-04-03,180.25,178.96,180.26,175.91,234890.0
2024-04-08,178.96,175.91,181.21,175.91,189576.0
2024-04-09,175.31,177.31,177.81,175.02,145700.0
2024-04-10,175.42,174.05,176.31,172.84,179615.0
2024-04-11,172.12,173.91,175.61,168.31,192954.0
2024-04-12,172.31,169.7,173.29,169.32,166256.0
2024-04-15,175.16,178.45,178.45,173.17,305483.0
2024-04-16,180.31,178.46,180.61,176.23,276231.0
2024-04-17,176.66,177.3,178.24,174.33,216192.0
2024-04-18,175.28,176.87,178.76,172.7,195396.0
2024-04-19,174.37,172.11,175.77,170.82,184915.0
2024-04-22,174.11,171.91,176.2,171.88,150987.0
2024-04-23,172.44,171.24,173.81,169.19,111138.0
2024-04-24,173.31,170.91,173.71,167.71,151543.0
2024-04-25,169.88,174.51,175.66,169.2,164183.0
2024-04-26,173.32,179.79,180.19,173.32,224881.0
2024-04-29,181.88,190.94,194.81,181.31,438630.0
2024-04-30,192.09,188.93,192.09,188.33,214330.0
2024-05-06,197.33,193.31,198.03,192.36,270999.0
2024-05-07,192.51,193.21,194.21,191.48,131799.0
2024-05-08,193.33,189.56,194.13,189.44,124330.0
2024-05-09,192.6,195.73,196.84,192.53,219216.0
2024-05-10,195.73,189.83,195.73,189.33,228011.0
2024-05-13,182.63,185.68,188.1,181.84,221967.0
2024-05-14,186.93,185.34,187.53,184.45,106947.0
2024-05-15,185.34,184.22,189.66,183.83,130741.0
2024-05-16,185.13,186.0,187.97,183.31,153782.0
2024-05-17,186.03,189.33,189.33,184.91,184962.0
2024-05-20,193.53,189.78,194.21,189.34,199172.0
2024-05-21,190.0,187.89,190.91,186.89,122964.0
2024-05-22,188.83,191.22,193.33,187.93,252366.0
2024-05-23,190.53,190.67,191.98,189.46,176548.0
2024-05-24,189.13,187.31,191.19,187.12,155107.0
2024-05-27,188.13,186.34,188.13,184.83,163618.0
2024-05-28,185.79,184.13,186.91,183.93,126900.0
2024-05-29,184.34,185.12,188.83,184.13,133388.0
2024-05-30,185.38,185.68,187.21,183.99,127840.0
2024-05-31,185.68,184.09,188.58,184.09,138086.0
2024-06-03,184.09,188.83,189.93,182.13,187181.0
2024-06-04,188.32,192.3,193.57,187.33,177149.0
2024-06-05,192.03,190.45,194.18,190.34,117774.0
2024-06-06,190.31,191.12,193.21,188.53,124126.0
2024-06-07,185.19,179.53,188.78,173.92,516868.0
2024-06-11,175.33,175.1,178.33,170.94,420724.0
2024-06-12,172.33,171.93,176.09,171.81,203104.0
2024-06-13,173.33,171.51,176.34,171.45,221176.0
2024-06-14,172.43,171.22,172.91,164.91,371849.0
2024-06-17,168.88,174.53,176.83,168.64,269293.0
2024-06-18,174.48,176.66,176.8,173.35,156529.0
2024-06-19,176.93,175.34,177.03,174.01,107540.0
2024-06-20,176.32,174.32,176.44,173.43,115624.0
2024-06-21,174.64,171.49,175.29,168.7,184677.0
2024-06-24,169.33,173.31,174.32,169.33,180355.0
2024-06-25,173.33,172.65,175.53,171.93,144144.0
2024-06-26,171.45,171.84,172.96,169.53,104814.0
2024-06-27,171.84,171.33,172.21,169.34,126536.0
2024-06-28,170.13,166.36,171.81,166.17,194205.0
2024-07-01,165.52,162.4,165.61,157.5,269957.0
2024-07-02,160.18,162.41,163.29,158.44,144156.0
2024-07-03,163.33,165.83,168.83,162.64,162053.0
2024-07-04,166.72,165.93,169.32,165.53,118346.0
2024-07-05,167.33,163.95,168.82,162.83,135247.0
2024-07-08,162.34,162.24,164.7,161.34,108064.0
2024-07-09,161.63,162.1,163.63,159.42,164439.0
2024-07-10,161.34,159.38,166.42,159.38,177729.0
2024-07-11,161.33,163.34,165.31,159.82,208111.0
2024-07-12,164.18,166.13,168.1,163.33,195505.0
2024-07-15,164.63,164.45,166.28,163.44,114697.0
2024-07-16,163.83,165.63,166.83,163.63,151487.0
2024-07-17,164.33,167.22,168.99,162.27,185901.0
2024-07-18,166.33,174.68,175.43,166.01,319944.0
2024-07-19,172.68,175.77,176.42,172.53,208476.0
2024-07-22,177.52,175.85,180.51,173.73,171683.0
2024-07-23,175.34,172.53,176.03,172.53,119031.0
2024-07-24,172.33,172.65,175.42,171.72,144681.0
2024-07-25,172.45,174.06,177.06,171.39,205959.0
2024-07-26,176.33,175.68,179.63,174.38,233477.0
2024-07-29,173.33,170.86,173.33,166.33,213624.0
2024-07-30,169.55,171.22,171.66,169.55,127252.0
2024-07-31,168.33,172.64,173.21,168.33,198969.0
2024-08-01,171.33,166.63,172.33,166.43,230127.0
2024-08-02,165.33,163.42,166.33,163.07,154937.0
2024-08-05,161.34,163.33,166.52,161.33,193477.0
2024-08-06,164.74,161.28,165.72,160.04,157687.0
2024-08-07,161.28,160.0,162.56,160.0,127540.0
2024-08-08,159.34,158.73,159.93,156.45,146590.0
2024-08-09,159.93,156.33,161.2,156.33,154130.0
2024-08-12,156.9,155.33,157.45,153.13,174156.0
2024-08-13,155.22,160.11,161.29,154.71,193893.0
2024-08-14,159.32,158.54,160.78,158.05,99663.0
2024-08-15,158.33,159.73,160.93,157.62,144812.0
2024-08-16,159.73,159.95,162.33,159.21,111506.0
2024-08-19,159.68,161.93,164.27,159.48,140358.0
2024-08-20,161.33,161.2,162.33,159.99,84370.0
2024-08-21,160.33,160.34,161.74,158.33,111474.0
2024-08-22,161.31,165.13,166.3,160.63,199011.0
2024-08-23,163.33,168.13,168.85,163.33,184152.0
2024-08-26,168.23,170.25,170.89,167.33,148387.0
2024-08-27,168.85,169.83,170.82,167.83,99770.0
2024-08-28,169.13,169.15,170.02,167.61,106390.0
2024-08-29,165.5,167.13,169.32,165.5,156702.0
2024-08-30,167.13,170.67,172.29,167.13,254292.0
2024-09-02,170.77,167.52,171.92,167.33,129852.0
2024-09-03,166.63,171.98,173.03,166.35,181969.0
2024-09-04,171.65,173.48,175.33,171.18,165645.0
2024-09-05,173.48,173.13,175.88,172.13,123182.0
2024-09-06,172.45,172.28,174.83,171.73,75255.0
2024-09-09,171.44,171.48,174.99,169.8,134754.0
2024-09-10,171.83,167.49,171.83,167.38,154244.0
2024-09-11,168.73,172.89,174.11,167.49,211971.0
2024-09-12,174.33,175.68,178.49,173.04,207100.0
2024-09-13,175.21,169.83,175.21,169.83,172873.0
2024-09-18,169.93,172.73,173.76,169.62,113779.0
2024-09-19,173.33,173.23,174.55,169.93,157694.0
2024-09-20,173.23,171.93,174.23,170.01,155027.0
2024-09-23,172.99,174.53,175.76,171.83,157925.0
2024-09-24,178.29,183.85,184.5,175.22,354517.0
2024-09-25,193.72,189.43,193.73,188.92,420101.0
2024-09-26,190.03,191.84,193.66,185.26,354893.0
2024-09-27,198.33,213.14,218.01,198.0,701813.0
2024-09-30,219.35,238.22,241.33,218.33,913611.0
2024-10-08,282.33,285.33,287.83,253.99,1376465.0
2024-10-09,266.23,241.33,266.32,241.33,1086916.0
2024-10-10,241.33,244.33,252.32,236.49,608338.0
2024-10-11,241.83,228.12,241.83,224.26,476402.0
2024-10-14,236.32,236.05,239.13,231.27,467599.0
2024-10-15,236.14,227.55,237.17,227.46,327653.0
2024-10-16,225.15,220.18,225.15,219.66,335860.0
2024-10-17,220.33,217.83,225.21,217.19,261647.0
2024-10-18,216.33,236.22,245.21,215.93,680138.0
2024-10-21,245.33,239.69,248.86,238.08,584558.0
2024-10-22,240.33,236.88,240.89,233.59,278760.0
2024-10-23,234.14,235.63,241.27,233.19,321541.0
2024-10-24,236.1,232.49,237.83,231.33,214658.0
2024-10-25,238.67,245.21,251.33,232.63,578986.0
2024-10-28,242.46,242.57,244.94,239.33,276019.0
2024-10-29,242.57,238.11,244.04,237.57,269948.0
2024-10-30,236.33,234.36,238.63,230.83,271344.0
2024-10-31,233.32,232.31,236.83,230.33,255003.0
